component,code,short_name,full_name,Source,Provider
government,ODB.2013.C.INIT,OGD Initiative,To what extent is there a well-resourced open government data initiative in this country?,ODB Expert Survey 2014,Web Foundation
government,WEF.GITR.8.01,ICT Vision,Importance of ICT to government vision.,http://www.weforum.org/global-information-technology-report-2014-data-platform,The World Economic Forum
government,UN.OSI,Online Services Index,Government online services index,2014 UN E-Government Development Survey,United Nations
government,ODB.2013.C.CITY,City Open Data,To what extent are city or regional governments running their own open data initiatives?,ODB Expert Survey 2014,Web Foundation
civil,ODB.2013.C.RTI,Right to Information,To what extent does the country have a functioning right-to-information law?,ODB Expert Survey 2014,Web Foundation
civil,ODB.2013.C.DPL,Data Protection Law,To what extent is there a robust legal or regulatory framework for protection of personal data in this country?,ODB Expert Survey 2014,Web Foundation
civil,FH,Freedom and Civil Liberties,Political Freedoms and Civil Liberties,Freeom House Freedom in the World Rankings,Freedom House
civil,ODB.2013.C.CSOC,Civil Society Engagement,To what extent are civil society and information technology professionals engaging with the government regarding open data?,ODB Expert Survey 2014,Web Foundation
entrepreneurs,ODB.2013.C.TRAIN,Open Data Training,To what extent is training available for individuals or businesses wishing to increase their skills or build businesses to use open data?,ODB Expert Survey 2014,Web Foundation
entrepreneurs,ODB.2013.C.SUPIN,Support for Innovation,"To what extent is government directly supporting a culture of innovation with open data through competitions, grants or other support?",ODB Expert Survey 2014,Web Foundation
entrepreneurs,WEF.GCI.9.02,Firm technology absorbtion,Firm-level technology absorption.,http://reports.weforum.org/global-competitiveness-report-2014-2015/,The World Economic Forum
entrepreneurs,WB.NetUsers,Net Users,Internet users (per 100 people),http://data.worldbank.org/indicator/IT.NET.USER.P2,World Bank
innovation,ODB.2013.D1,Map Data,Map Data,ODB Expert Survey 2014,Web Foundation
innovation,ODB.2013.D9,Public transport timetables,Public transport timetables,ODB Expert Survey 2014,Web Foundation
innovation,ODB.2013.D10,International trade data,International trade data,ODB Expert Survey 2014,Web Foundation
innovation,ODB.2013.D13,Crime statistics,Crime statistics,ODB Expert Survey 2014,Web Foundation
innovation,ODB.2013.D16,Public Contracts,Public Contracts,ODB Expert Survey 2014,Web Foundation
social_policy,ODB.2013.D4,Detailed census data,Detailed census data,ODB Expert Survey 2014,Web Foundation
social_policy,ODB.2013.D11,Health sector performance,Health sector performance,ODB Expert Survey 2014,Web Foundation
social_policy,ODB.2013.D12,Primary or secondary education performance data,Primary or secondary education performance data,ODB Expert Survey 2014,Web Foundation
social_policy,ODB.2013.D14,National environment statistics,National environment statistics,ODB Expert Survey 2014,Web Foundation
social_policy,ODB.2013.D2,Land ownership data,Land ownership data,ODB Expert Survey 2014,Web Foundation
accountability,ODB.2013.D5,Detailed government budget,Detailed government budget,ODB Expert Survey 2014,Web Foundation
accountability,ODB.2013.D6,Detailed data on government spend,Detailed data on government spend,ODB Expert Survey 2014,Web Foundation
accountability,ODB.2013.D7,Company register,Company register,ODB Expert Survey 2014,Web Foundation
accountability,ODB.2013.D8,Legislation,Legislation,ODB Expert Survey 2014,Web Foundation
accountability,ODB.2013.D15,National election results,National election results,ODB Expert Survey 2014,Web Foundation
